Step,Time (s),RMSE,Max Abs Error
40,280.0,0.13311454310775628,0.372973382434026
80,560.0,0.2158127028226234,0.6046611578171868
120,840.0,0.2671333955264295,0.7484170252888203
160,1120.0,0.2989259352114362,0.8374469170829175
200,1400.0,0.3185650147103562,0.8924173275744149
240,1680.0,0.33064043913906205,0.9261905362813698
280,1960.0,0.3380087722057618,0.9467716855667708
320,2240.0,0.34244785378634984,0.9591429639444824
360,2520.0,0.3450641548452528,0.9664051533135499
400,2800.0,0.3465463046414228,0.9704880977995437
440,3080.0,0.3473228794716589,0.97259288079227
480,3360.0,0.3476606062247588,0.9734670242526691
520,3640.0,0.3477254816356019,0.9735757654912273
560,3920.0,0.3476208112294934,0.9732086553100874
600,4200.0,0.34741088368834866,0.972545901870585
